Ordernummer;Status;EAN;bSKU;Artikelomschrijving;"Aantal
besteld";"Aantal
geleverd";"Aantal
geannuleerd";"Datum
besteld";"Datum
beloofde_levering";"Datum
verstuurd";"Verkoopprijs
item";"Verkoopprijs
order";Land;Annuleringsreden
4348655910;Verstuurd;0634154990094;2950002108373;Fitbit Charge 2 Milanese Horloge Bandje met magneetsluiting - Maat M - Zwart;1;1;;9/18/17;;9/18/17;€ 29,65;€ 29,65;NL;
4348448970;Verstuurd;8719172668223;2950002334765;Brauch USB Verleng Splitter kabel Male naar 2x Female;1;1;;9/18/17;;9/18/17;€ 13,95;€ 13,95;NL;
4348452390;Geannuleerd;8702131255312;2950002220037;LGBT - Gay - Regenboog vlag - 90x150cm;1;;1;9/18/17;;;€ 9,69;€ 9,69;NL;Geannuleerd door de klant
4348480810;Geannuleerd;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;;1;9/18/17;9/20/17;;€ 17,00;€ 17,00;BE;Geannuleerd door de klant
4348483540;Verstuurd;0635131933769;2950002334642;USA naar Europa (EU) Adapter verloop stekker;1;1;;9/18/17;;9/18/17;€ 6,95;€ 6,95;NL;
4348512080;Verstuurd;7434009183199;2950002428440;Popsocket Popsockets Style Buttonhouder The Sound;1;1;;9/18/17;;9/18/17;€ 13,95;€ 13,95;NL;
4348540300;Verstuurd;0815373023231;2950002213725;PopSockets Marble Chic;1;1;;9/18/17;;9/18/17;€ 9,65;€ 9,65;NL;
4348750760;Verstuurd;0859184004317;2950002428402;PopSockets: The Sound;1;1;;9/18/17;;9/18/17;€ 13,95;€ 13,95;NL;
4348612780;Verstuurd;8719322130723;2950002393823;Cassette adapter voor in de auto;1;1;;9/18/17;;9/18/17;€ 9,99;€ 9,99;NL;
4348408190;Verstuurd;0635131933769;2950002334642;USA naar Europa (EU) Adapter verloop stekker;1;1;;9/18/17;;9/18/17;€ 6,95;€ 6,95;NL;
4348676580;Verstuurd;8719177520250;2950002153380;Be Active Solar PowerBank 5000 mAh - zwart;2;2;;9/18/17;;9/18/17;€ 16,25;€ 32,50;NL;
4348685980;Verstuurd;8719214235987;2950002108335;Fitbit Charge 2 lederen armband - Grijs| Pride Kings«;1;1;;9/18/17;;9/18/17;€ 20,65;€ 20,65;NL;
4348718410;Bestelling wordt verwerkt;7107109701104;2950001703579;Milanees bandje Zilver geschikt voor Fitbit Charge 2;1;;;9/18/17;9/20/17;;€ 17,00;€ 17,00;BE;
4348725580;Verstuurd;8718637965358;2950002173760;Mini MP3 Speler [zwart] + oordopjes en opbergtas;2;2;;9/18/17;;9/18/17;€ 14,95;€ 29,90;NL;
4348734350;Verstuurd;7107102614609;2950001949991;Milanees bandje RosΘgoud geschikt voor Fitbit Charge 2;1;1;;9/18/17;;9/18/17;€ 21,69;€ 21,69;BE;
4348748790;Verstuurd;8719295800074;2950002428327;Anker Popsockets;1;1;;9/18/17;;9/18/17;€ 9,95;€ 9,95;NL;
4348590890;Verstuurd;8719075180457;2950002327682;Verloopfitting E14 naar E27;1;1;;9/18/17;;9/18/17;€ 8,50;€ 8,50;NL;
4348183830;Bestelling wordt verwerkt;7296667823332;2950002397951;10 Microvezel Brillendoekjes;1;;;9/18/17;;;€ 9,95;€ 9,95;NL;
4349090750;Verstuurd;8718627934876;2950002327651;Audio splitter STEREO iPhone, iPad, iPod / JACK 3.5mm;1;1;;9/18/17;;9/19/17;€ 9,50;€ 9,50;NL;
4348057150;Verstuurd;8719177819613;2950001881932;Button in de PopSocket style - Inclusief ophang clip - Voor Telefoon/tablet - Peace Mandala Tiffany;1;1;;9/18/17;;9/18/17;€ 9,69;€ 9,69;NL;
4348065660;Verstuurd;8702131255312;2950002220037;LGBT - Gay - Regenboog vlag - 90x150cm;1;1;;9/18/17;;9/18/17;€ 9,69;€ 9,69;NL;
4348093240;Verstuurd;8719322130723;2950002393823;Cassette adapter voor in de auto;1;1;;9/18/17;;9/18/17;€ 9,99;€ 9,99;BE;
